127.0.0.1 - - [15/Aug/2017:20:58:12 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:20:58:12 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:20:58:12 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:20:58:12 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:20:58:12 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:20:58:12 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:20:58:12 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:20:58:12 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:20:58:12 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:20:58:12 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:20:58:12 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:20:58:12 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:20:58:12 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:20:58:12 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:20:58:12 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:20:58:12 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:20:58:12 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:20:58:12 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:20:58:12 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:20:58:12 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:20:58:12 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:20:58:12 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:20:58:12 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:20:58:12 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:20:58:12 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:20:58:12 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:20:58:12 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:20:58:12 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:20:58:12 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:20:58:12 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:20:58:12 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:20:58:12 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:20:58:12 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:20:58:12 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:20:58:12 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:20:58:12 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:20:58:12 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:20:58:12 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:20:58:12 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:20:58:12 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:20:58:12 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:20:58:12 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:20:58:12 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:20:58:12 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:20:58:12 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:20:58:12 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:20:58:12 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:20:58:12 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:20:58:12 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:20:58:12 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:20:58:12 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:20:58:12 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:20:58:12 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:20:58:12 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:20:58:12 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:20:58:12 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:20:58:12 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:20:58:12 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:20:58:12 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:20:58:12 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:20:58:12 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:20:58:12 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:20:58:12 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:20:58:12 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:20:58:12 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:20:58:12 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:20:58:12 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:20:58:12 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:20:58:12 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:20:58:12 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:20:58:12 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:20:58:12 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:20:58:12 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:20:58:12 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:20:58:12 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:20:58:12 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:20:58:12 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:20:58:12 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:20:58:12 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:20:58:12 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:20:58:12 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:20:58:12 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:20:58:12 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:20:58:12 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:20:58:18 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:20:58:18 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:20:58:18 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:20:58:18 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:20:58:18 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:20:58:18 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:20:58:18 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:20:58:18 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:20:58:18 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:20:58:18 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:20:58:18 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:20:58:18 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:20:58:18 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:20:58:18 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:20:58:18 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:20:58:18 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:20:58:18 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:20:58:18 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:20:58:18 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:20:58:18 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:20:58:18 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:20:58:18 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:20:58:18 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:20:58:18 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:20:58:18 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:20:58:18 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:20:58:18 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:20:58:18 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:20:58:18 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:20:58:18 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:20:58:18 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:20:58:18 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:20:58:18 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:20:58:18 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:20:58:18 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:20:58:18 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:20:58:18 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:20:58:18 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:20:58:18 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:20:58:18 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:20:58:18 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:20:58:18 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:20:58:18 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:20:58:18 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:20:58:18 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:20:58:18 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:20:58:18 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:20:58:18 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:20:58:18 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:20:58:18 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:20:58:18 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:20:58:18 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:20:58:18 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:20:58:18 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:20:58:18 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:20:58:18 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:20:58:18 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:20:58:18 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:20:58:18 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:20:58:18 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:20:58:18 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:20:58:18 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:20:58:18 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:20:58:18 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:20:58:18 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:20:58:18 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:20:58:18 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:20:58:18 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:20:58:18 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:20:58:18 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:20:58:18 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:20:58:18 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:20:58:18 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:20:58:18 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:20:58:18 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:20:58:18 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:20:58:18 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:20:58:18 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:20:58:18 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:20:58:18 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:20:58:18 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:20:58:18 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:20:58:18 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:20:58:18 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:20:58:18 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:20:58:18 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:20:58:18 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:20:58:18 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:20:58:18 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:20:58:18 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:20:58:18 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:20:58:18 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:20:58:18 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:20:58:18 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:20:58:18 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:20:58:18 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:20:58:18 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:20:58:18 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:20:58:18 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:20:58:18 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:21:09:37 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:21:09:37 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:21:09:37 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:21:09:37 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:21:09:37 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:21:09:37 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:21:09:37 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:21:09:37 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:21:09:37 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:21:09:37 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:21:09:37 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:21:09:37 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:21:09:37 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:21:09:37 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:21:09:37 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:21:09:37 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:21:09:37 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:21:09:37 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:21:09:37 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:21:09:37 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:21:09:37 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:21:09:37 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
127.0.0.1 - - [15/Aug/2017:21:09:37 -0700] "GET /Titan/history?user_id=1111 HTTP/1.1" 200 725
